Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,130,102,128,76
5.5,0,0,0,0,192,274,130,230
6.0,1,0,0,0,268,484,152,396
6.5,1,0,0,0,516,982,204,404
7.0,1,0,0,0,1026,1936,378,716
7.5,2,0,0,0,1642,3200,638,956
8.0,2,0,1,0,2292,5450,868,1768
8.5,2,0,1,0,1964,6314,766,2184
9.0,1,0,1,0,1726,3674,972,3402
9.5,1,0,1,0,1188,3130,1268,3272
10.0,1,0,1,0,1098,2122,1188,2348
10.5,1,1,1,1,1118,2450,1432,2532
11.0,1,0,1,0,1130,1830,1442,2184
11.5,1,0,1,1,1246,1648,1684,2160
12.0,1,1,1,1,1796,1956,1974,2354
12.5,1,1,1,1,1868,2572,2914,2988
13.0,1,1,1,1,1604,2246,2832,3396
13.5,1,1,1,1,1346,1874,1984,2644
14.0,1,1,1,1,1610,1686,2116,2108
14.5,1,1,1,1,1856,2034,1928,1804
15.0,1,1,1,1,2120,1938,2388,1564
15.5,0,1,1,1,2036,2170,3048,1640
16.0,0,1,1,1,2466,2152,3248,1668
16.5,0,1,1,1,3388,2282,3552,2086
17.0,0,1,1,1,4308,2212,3288,2140
17.5,0,1,1,1,4888,2648,2168,2024
18.0,0,2,1,1,4388,2512,1870,1490
18.5,0,1,0,1,3812,2222,1576,1140
19.0,0,1,0,1,3264,1864,1532,972
19.5,0,1,0,1,2794,1506,1434,848
20.0,0,1,0,1,2816,1192,1566,708
20.5,0,1,0,1,3870,1040,2294,736
21.0,0,1,0,1,3920,914,1954,596
21.5,0,1,0,1,2104,780,1184,604
22.0,0,1,0,0,1652,758,994,516
22.5,0,1,0,0,1074,598,632,428
23.0,0,1,0,0,882,466,566,314
23.5,0,1,0,0,562,364,372,256
24.0,0,0,0,0,168,268,112,208
24.5,-,-,-,-,4,18,4,0
