Time,Up/Weekday,Down/Weekday,Up/Holiday,Down/Holiday,Entered/Weekday,Exited/Weekday,Entered/Holiday,Exited/Weekend
5.0,0,0,0,0,47,119,216,112
5.5,0,0,0,0,54,480,172,348
6.0,0,0,0,0,100,719,264,488
6.5,1,0,1,0,172,1623,392,904
7.0,1,0,1,0,326,2919,552,1488
7.5,1,0,0,0,481,4882,828,2008
8.0,2,1,1,0,739,7950,1104,2452
8.5,1,0,1,0,723,9076,1264,2388
9.0,1,0,1,0,752,4801,1632,1712
9.5,1,0,1,0,730,3578,1728,2044
10.0,1,0,1,0,714,1359,1812,1440
10.5,1,0,1,0,741,1192,1660,1744
11.0,1,0,1,0,796,806,1688,1468
11.5,1,0,1,0,843,826,1568,1488
12.0,1,0,1,0,1070,915,1768,1400
12.5,1,1,1,0,972,1342,1496,1724
13.0,1,1,0,1,931,919,1336,1588
13.5,1,1,0,1,770,866,1316,1496
14.0,1,1,0,0,952,695,1536,1272
14.5,0,1,0,0,959,856,1688,1384
15.0,0,1,0,0,1187,719,1992,1272
15.5,0,1,0,0,1112,827,1884,1352
16.0,0,1,1,1,1723,665,2316,1360
16.5,0,1,0,1,2126,723,2000,1488
17.0,0,1,0,1,3962,642,2716,1408
17.5,0,1,0,1,5303,786,2224,1432
18.0,1,1,0,1,5578,769,2640,1308
18.5,0,2,0,1,4046,701,1756,1136
19.0,0,1,0,1,3407,540,1544,984
19.5,0,1,0,1,2492,437,1160,984
20.0,0,1,0,1,2050,378,1056,1048
20.5,0,1,0,1,1593,335,1016,1192
21.0,0,1,0,1,1472,341,1000,1228
21.5,0,1,0,0,1172,345,856,1360
22.0,0,1,0,0,1134,316,1144,1192
22.5,0,0,0,0,823,264,784,1040
23.0,0,0,0,0,838,205,776,808
23.5,0,0,0,0,497,165,540,652
24.0,0,0,0,0,143,126,240,548
24.5,-,-,-,-,0,0,0,8
